Age,Gender,Nationality,Annual Income,Education,Employment,Flight Frequency (Annual),Primary Travel Reason,Loyalty Programs,Preferred Flight Class,Booking Method,Food Importance (1-5),Prefers Personalized Entertainment,Willing to Pay for Sustainability,Carbon Footprint Importance (1-5),Used Chauffeur Service,Willing to Upgrade to Premium Economy,Chauffeur Service Influences Booking,Extra Willingness to Pay for Meals (USD),Willingness to Pay More (%),Personalized App Improves Experience,Interest in Personalized Entertainment,Top Frustrations,Airline Selection Values,Useful In-App Features,Faced App Challenges,Type of Challenge,Beta Test Interest,Likelihood to Use Personalized App (1-5),Interest in Personalized Flying Experience
27,Male,India,79732,Bachelor’s,Student,0–1,Business,"Emirates Skywards, Qatar Privilege Club",Premium Economy,Travel Aggregator,2,No,No,2,Yes,Maybe,Yes,25.51,0–10%,No,No,"Delays, Cost, Cleanliness",Loyalty Program,"AI-based Entertainment, Airport Map & Navigation",Yes,Slow Performance,Yes,4,High
34,Female,India,55767,Bachelor’s,Employed,2–4,Leisure,Emirates Skywards,Premium Economy,Travel Aggregator,5,No,No,1,No,No,No,31.59,11–20%,Yes,Yes,"Food Quality, Inflight Entertainment","Price, Environmental Responsibility, Technology",,Yes,Lack of Features,Yes,1,High
39,Female,Philippines,96224,High School,Employed,2–4,Leisure,Emirates Skywards,Business,Travel Aggregator,3,Yes,Yes,2,No,Yes,Yes,27.92,0–10%,Yes,Yes,"Delays, Inflight Entertainment",Service Quality,,Yes,User Interface,Maybe,2,Very High
43,Female,Other,96605,Master’s,Student,2–4,Leisure,,Premium Economy,Agent,5,No,No,3,No,Yes,Maybe,13.12,11–20%,Yes,Yes,"Food Quality, Cost",Technology,"Sustainability Score, AI-based Entertainment",No,,Maybe,3,Moderate
46,Male,UAE,68014,High School,Employed,2–4,Other,Other,Economy,Travel Aggregator,3,Indifferent,Yes,4,No,Yes,Yes,18.82,>30%,No,Yes,"Delays, Cost",Loyalty Program,Real-time Luggage Tracker,No,,Yes,3,Moderate
47,Male,India,66230,Master’s,Student,5–7,Family,Qatar Privilege Club,Premium Economy,Airline App,1,No,Maybe,1,No,No,Yes,54.41,11–20%,Yes,Maybe,"Inflight Entertainment, Sustainability","Service Quality, Technology",Sustainability Score,No,,Yes,1,Moderate
53,Male,Other,106688,High School,Employed,0–1,Business,"Emirates Skywards, Etihad Guest",Economy,Travel Aggregator,1,Yes,No,2,No,No,No,65.08,21–30%,Yes,Yes,"Cost, Customer Service, Sustainability, Cleanliness","Comfort, Technology",,Yes,Slow Performance,Maybe,1,Moderate
38,Male,UAE,110823,High School,Self-employed,2–4,Leisure,Emirates Skywards,Economy,Other,3,No,Yes,1,Yes,Yes,No,48.44,0–10%,Yes,Yes,"Delays, Sustainability","Comfort, Environmental Responsibility, Technology, Loyalty Program",Seat Upgrade Suggestions,No,,No,3,High
75,Male,UAE,67313,Bachelor’s,Employed,2–4,Leisure,"Qatar Privilege Club, Other",Premium Economy,Travel Aggregator,3,Indifferent,Maybe,3,No,Yes,No,32.17,>30%,No,Yes,"Check-in Process, Inflight Entertainment, Sustainability","Price, Environmental Responsibility, Technology, Loyalty Program",Sustainability Score,Yes,User Interface,No,1,Very High
43,Male,UAE,90510,Bachelor’s,Self-employed,0–1,Leisure,"Emirates Skywards, Qatar Privilege Club",Economy,Travel Aggregator,5,Yes,No,3,Yes,Yes,No,19.93,11–20%,Yes,Yes,"Delays, Check-in Process, Inflight Entertainment, Cost, Sustainability",Environmental Responsibility,"AI-based Entertainment, Real-time Luggage Tracker",Yes,Slow Performance,No,4,Moderate
34,Female,USA,74317,Bachelor’s,Self-employed,2–4,Leisure,"Emirates Skywards, Qatar Privilege Club, Etihad Guest",Economy,Airline App,4,Yes,Yes,2,No,Yes,No,13.03,0–10%,Yes,Maybe,"Food Quality, Inflight Entertainment, Customer Service, Sustainability",Technology,Seat Upgrade Suggestions,No,,Maybe,3,Moderate
28,Female,UAE,55907,Bachelor’s,Employed,2–4,Leisure,Qatar Privilege Club,Economy,Airline App,3,Indifferent,Maybe,5,No,No,Yes,14.02,11–20%,Yes,No,Delays,Comfort,Sustainability Score,Yes,Bugs,Maybe,5,Moderate
52,Male,Other,37790,Other,Employed,2–4,Leisure,,Premium Economy,Travel Aggregator,2,Indifferent,No,1,No,Maybe,No,16.7,>30%,Yes,Yes,Cost,Loyalty Program,"Seat Upgrade Suggestions, Real-time Luggage Tracker",No,,Maybe,2,High
39,Male,UK,76477,Bachelor’s,Employed,2–4,Other,Qatar Privilege Club,Economy,Agent,2,Yes,Maybe,1,No,Maybe,No,57.27,0–10%,Yes,Yes,"Delays, Inflight Entertainment, Sustainability","Comfort, Environmental Responsibility, Technology",,Yes,Lack of Features,Maybe,2,High
50,Female,UK,97625,High School,Employed,2–4,Business,"Emirates Skywards, Qatar Privilege Club",Business,Travel Aggregator,2,Yes,No,3,Yes,Yes,Maybe,52.09,11–20%,Yes,No,"Cost, Sustainability",,"AI-based Entertainment, Real-time Luggage Tracker, Airport Map & Navigation",Yes,User Interface,Maybe,5,High
47,Female,India,5792,Bachelor’s,Employed,5–7,Other,Other,Economy,Travel Aggregator,1,Yes,Yes,1,No,No,No,36.19,>30%,Yes,No,"Delays, Check-in Process, Sustainability",Price,"Seat Upgrade Suggestions, AI-based Entertainment",No,,Yes,5,Moderate
35,Female,UK,59220,Master’s,Self-employed,2–4,Leisure,"Etihad Guest, Other",Economy,Airline App,5,Yes,Maybe,2,No,No,No,10.59,0–10%,Yes,Yes,"Delays, Cost","Price, Environmental Responsibility, Loyalty Program",,Yes,User Interface,Yes,4,Very High
28,Prefer not to say,USA,30590,Bachelor’s,Employed,2–4,Leisure,Emirates Skywards,Economy,Airline App,1,Indifferent,No,4,No,Maybe,Yes,38.4,11–20%,No,Maybe,"Delays, Check-in Process, Inflight Entertainment, Cost, Sustainability",Price,,Yes,User Interface,Maybe,3,High
23,Female,Pakistan,152719,High School,Employed,2–4,Family,Qatar Privilege Club,Premium Economy,Travel Aggregator,2,Yes,Yes,3,No,No,Maybe,21.42,11–20%,No,Maybe,"Delays, Inflight Entertainment",Environmental Responsibility,Seat Upgrade Suggestions,No,,Yes,1,High
30,Non-binary,Pakistan,63862,Master’s,Employed,0–1,Leisure,Etihad Guest,Economy,Airline App,3,Yes,Maybe,4,No,Yes,Maybe,0.0,0–10%,Yes,Maybe,"Sustainability, Cleanliness","Technology, Loyalty Program","AI-based Entertainment, Airport Map & Navigation",No,,Maybe,2,Very High
54,Male,USA,58946,Bachelor’s,Employed,0–1,Leisure,Other,First Class,Travel Aggregator,2,Indifferent,No,1,Yes,Yes,No,29.31,11–20%,Yes,No,"Check-in Process, Inflight Entertainment, Sustainability","Price, Comfort, Service Quality","Seat Upgrade Suggestions, AI-based Entertainment",No,,Maybe,5,Very High
41,Male,Other,79442,Bachelor’s,Employed,2–4,Leisure,,First Class,Airline App,3,Yes,Maybe,5,No,No,No,12.37,0–10%,Yes,Maybe,"Inflight Entertainment, Customer Service, Sustainability",Service Quality,AI-based Entertainment,No,,No,3,Very High
22,Male,Philippines,54187,High School,Unemployed,8+,Leisure,Qatar Privilege Club,Business,Travel Aggregator,5,No,Maybe,2,Yes,Maybe,Yes,12.88,21–30%,Yes,Yes,"Delays, Inflight Entertainment, Cost, Sustainability","Comfort, Loyalty Program","Sustainability Score, Real-time Luggage Tracker",No,,Yes,1,Moderate
48,Male,Pakistan,156587,High School,Retired,5–7,Other,"Qatar Privilege Club, Etihad Guest, Other",First Class,Agent,4,Yes,Yes,1,No,Maybe,No,21.24,0–10%,Yes,Maybe,"Cost, Sustainability, Cleanliness","Price, Comfort, Service Quality, Environmental Responsibility, Technology",Real-time Luggage Tracker,Yes,Lack of Features,Yes,2,Very High
42,Male,UAE,52651,Bachelor’s,Employed,0–1,Family,,Economy,Travel Aggregator,3,Indifferent,Yes,2,No,Yes,No,17.53,0–10%,Yes,Maybe,"Check-in Process, Inflight Entertainment",Loyalty Program,Sustainability Score,No,,Yes,3,High
24,Female,UAE,91419,Bachelor’s,Employed,5–7,Business,,Premium Economy,Airline App,1,Indifferent,Yes,1,No,Maybe,No,24.49,11–20%,Yes,Maybe,"Cost, Sustainability",Environmental Responsibility,"Real-time Luggage Tracker, Airport Map & Navigation",No,,Maybe,2,Moderate
40,Female,India,52962,Bachelor’s,Student,5–7,Business,,Business,Travel Aggregator,2,Yes,Maybe,1,No,Yes,Yes,23.77,0–10%,Yes,Maybe,"Food Quality, Inflight Entertainment","Price, Comfort, Loyalty Program",Sustainability Score,Yes,Slow Performance,Yes,4,Very High
37,Female,USA,128140,Bachelor’s,Employed,2–4,Leisure,"Qatar Privilege Club, Etihad Guest, Other",Premium Economy,Other,2,Indifferent,Yes,1,Yes,Maybe,No,0.0,0–10%,Yes,Yes,Customer Service,"Comfort, Service Quality, Technology, Loyalty Program",AI-based Entertainment,No,,Maybe,2,Moderate
31,Male,UK,104206,Bachelor’s,Employed,5–7,Business,"Qatar Privilege Club, Etihad Guest, Other",Business,Travel Aggregator,2,Indifferent,Yes,3,No,Maybe,Yes,47.8,21–30%,Yes,Yes,Inflight Entertainment,"Comfort, Service Quality","Seat Upgrade Suggestions, AI-based Entertainment",No,,Yes,4,Very High
40,Female,UK,85553,Doctorate,Employed,2–4,Leisure,Other,Business,Airline App,3,Indifferent,Yes,4,Yes,No,No,10.25,>30%,Yes,Yes,Check-in Process,,"Sustainability Score, AI-based Entertainment",No,,Maybe,4,Low
44,Female,Philippines,59623,Master’s,Employed,2–4,Business,"Emirates Skywards, Other",First Class,Airline App,5,Yes,Yes,5,Yes,Maybe,Yes,10.71,21–30%,Yes,No,,Loyalty Program,,No,,Yes,4,High
48,Male,Philippines,71155,Master’s,Unemployed,2–4,Leisure,"Emirates Skywards, Other",Economy,Airline App,3,Yes,No,4,No,Yes,No,20.07,11–20%,Yes,Yes,Sustainability,Price,"Seat Upgrade Suggestions, Sustainability Score, AI-based Entertainment, Airport Map & Navigation",Yes,Bugs,No,1,Low
51,Female,Other,60708,High School,Self-employed,2–4,Business,Emirates Skywards,Business,Airline App,1,Yes,Maybe,4,Yes,Yes,Yes,23.37,21–30%,Yes,Yes,"Delays, Check-in Process, Cost, Sustainability",Price,Seat Upgrade Suggestions,No,,Yes,1,Very High
18,Male,India,64739,High School,Employed,2–4,Leisure,,Premium Economy,Agent,2,Yes,Yes,2,Yes,Yes,Yes,46.88,>30%,Yes,Yes,"Customer Service, Cleanliness",,Airport Map & Navigation,Yes,User Interface,Yes,4,Moderate
24,Male,USA,88151,Bachelor’s,Employed,2–4,Leisure,Qatar Privilege Club,Premium Economy,Agent,3,Yes,No,3,No,Yes,No,29.04,11–20%,Yes,No,"Inflight Entertainment, Sustainability, Cleanliness",Loyalty Program,Airport Map & Navigation,No,,No,3,High
46,Female,India,69655,High School,Student,8+,Leisure,Emirates Skywards,Economy,Airline App,2,Yes,Maybe,3,No,No,Yes,33.5,0–10%,Yes,Maybe,,"Price, Comfort, Service Quality",Sustainability Score,Yes,Lack of Features,Maybe,4,High
45,Male,UAE,124843,Other,Student,8+,Other,Etihad Guest,Business,Airline App,1,No,No,1,Yes,Yes,No,29.12,0–10%,Yes,No,"Delays, Customer Service, Sustainability","Price, Loyalty Program",Sustainability Score,No,,Yes,3,High
51,Male,UAE,91709,High School,Self-employed,5–7,Emergency,"Qatar Privilege Club, Etihad Guest",First Class,Airline App,4,Yes,Maybe,4,No,Maybe,Maybe,28.47,11–20%,Yes,No,Cost,"Price, Loyalty Program",Sustainability Score,No,,Yes,2,High
93,Female,India,51699,Bachelor’s,Self-employed,5–7,Leisure,"Emirates Skywards, Etihad Guest, Other",Economy,Agent,4,Indifferent,No,5,No,Yes,Maybe,29.65,>30%,Yes,Yes,"Check-in Process, Inflight Entertainment, Customer Service, Sustainability, Cleanliness",Technology,"Seat Upgrade Suggestions, Real-time Luggage Tracker, Airport Map & Navigation",No,,Maybe,1,Low
50,Female,UK,33554,Bachelor’s,Employed,8+,Business,Qatar Privilege Club,Premium Economy,Travel Aggregator,4,Indifferent,Yes,2,No,No,Yes,0.0,11–20%,No,Maybe,Food Quality,"Comfort, Service Quality","Seat Upgrade Suggestions, Real-time Luggage Tracker",No,,Maybe,3,Moderate
53,Male,Philippines,13713,Bachelor’s,Student,0–1,Family,"Emirates Skywards, Qatar Privilege Club, Other",Economy,Travel Aggregator,2,Yes,Maybe,3,No,No,Maybe,21.25,11–20%,Yes,Yes,Sustainability,"Price, Service Quality, Environmental Responsibility",Seat Upgrade Suggestions,Yes,Bugs,Yes,3,Moderate
51,Male,UAE,65344,High School,Student,2–4,Other,Etihad Guest,First Class,Travel Aggregator,3,Yes,No,1,No,Yes,Yes,42.43,0–10%,Yes,Yes,Cost,Comfort,"Seat Upgrade Suggestions, Sustainability Score, Real-time Luggage Tracker",Yes,User Interface,Yes,3,Very High
49,Male,Pakistan,86021,Bachelor’s,Employed,2–4,Family,"Emirates Skywards, Qatar Privilege Club, Etihad Guest",Economy,Travel Aggregator,2,No,Yes,5,No,Yes,Maybe,84.13,0–10%,Yes,Maybe,Check-in Process,"Price, Comfort",AI-based Entertainment,No,,Yes,5,High
33,Female,UK,41098,Bachelor’s,Self-employed,5–7,Business,Other,Economy,Airline App,5,Yes,Yes,4,No,Yes,No,6.94,11–20%,Yes,No,"Check-in Process, Inflight Entertainment, Cost, Sustainability",Environmental Responsibility,,No,,Yes,1,High
53,Male,India,123285,Master’s,Employed,2–4,Other,Other,Economy,Airline App,3,Yes,Maybe,5,Yes,Maybe,Yes,31.35,>30%,Yes,No,"Check-in Process, Cost, Customer Service","Price, Technology","AI-based Entertainment, Real-time Luggage Tracker, Airport Map & Navigation",No,,Yes,5,High
30,Male,UK,83212,High School,Employed,5–7,Business,Emirates Skywards,Premium Economy,Travel Aggregator,1,Indifferent,Maybe,3,No,No,Yes,16.43,0–10%,Yes,Yes,"Inflight Entertainment, Customer Service","Price, Service Quality",Seat Upgrade Suggestions,Yes,Lack of Features,Yes,2,Very High
34,Female,India,20514,Doctorate,Employed,0–1,Family,,Economy,Travel Aggregator,4,Yes,No,2,No,Yes,Yes,55.71,21–30%,Yes,Yes,"Check-in Process, Sustainability, Cleanliness",Price,,No,,No,3,Low
35,Female,USA,122468,Master’s,Employed,2–4,Other,Other,Premium Economy,Airline App,3,Indifferent,Maybe,4,No,Maybe,No,4.69,0–10%,Yes,Yes,Sustainability,,,Yes,User Interface,No,1,Moderate
51,Male,UK,96907,Bachelor’s,Employed,5–7,Business,Other,First Class,Airline App,3,Indifferent,No,2,Yes,Yes,Yes,34.37,11–20%,Yes,Yes,"Delays, Check-in Process, Sustainability, Cleanliness","Price, Environmental Responsibility, Loyalty Program","Sustainability Score, AI-based Entertainment, Real-time Luggage Tracker, Airport Map & Navigation",No,,Yes,1,High
71,Female,UAE,52878,Master’s,Employed,0–1,Other,"Emirates Skywards, Etihad Guest",Business,Airline App,4,Yes,Yes,5,No,No,No,3.89,11–20%,Yes,Yes,Inflight Entertainment,,"Sustainability Score, Real-time Luggage Tracker",No,,No,1,High
14,Female,UAE,130027,High School,Employed,2–4,Leisure,Etihad Guest,Economy,Travel Aggregator,1,Indifferent,Maybe,5,No,Yes,No,20.22,21–30%,No,Yes,"Cost, Cleanliness",,Seat Upgrade Suggestions,No,,Yes,3,High
47,Male,UK,54088,Other,Employed,2–4,Other,Other,First Class,Travel Aggregator,2,Yes,Maybe,1,No,Maybe,Maybe,24.49,0–10%,Yes,Yes,,Service Quality,"Seat Upgrade Suggestions, Airport Map & Navigation",Yes,Bugs,Yes,4,High
18,Male,Other,87048,Bachelor’s,Employed,2–4,Business,"Emirates Skywards, Qatar Privilege Club, Other",Premium Economy,Agent,2,Indifferent,No,4,No,Maybe,Maybe,41.05,0–10%,Yes,No,"Inflight Entertainment, Customer Service","Technology, Loyalty Program","Seat Upgrade Suggestions, Real-time Luggage Tracker",No,,Yes,4,Moderate
30,Female,India,31285,Bachelor’s,Employed,5–7,Other,"Etihad Guest, Other",Economy,Airline App,3,Indifferent,Yes,5,No,Maybe,Yes,8.84,0–10%,Yes,Maybe,"Check-in Process, Inflight Entertainment, Sustainability, Cleanliness","Comfort, Service Quality, Technology, Loyalty Program","Seat Upgrade Suggestions, Sustainability Score",No,,Yes,4,Moderate
49,Male,Pakistan,13639,Bachelor’s,Self-employed,2–4,Business,"Etihad Guest, Other",Economy,Airline App,4,Yes,Yes,3,Yes,Yes,No,34.95,>30%,Yes,No,"Food Quality, Customer Service, Sustainability",Loyalty Program,Real-time Luggage Tracker,No,,Maybe,5,Moderate
36,Female,USA,88127,High School,Employed,2–4,Family,"Qatar Privilege Club, Other",Economy,Airline App,5,Yes,Maybe,3,No,Yes,Maybe,25.28,0–10%,Yes,Maybe,"Inflight Entertainment, Sustainability",,Sustainability Score,No,,Yes,3,High
23,Male,Other,82521,Other,Employed,0–1,Leisure,,Business,Travel Aggregator,1,No,Maybe,2,No,Maybe,Maybe,29.09,0–10%,Yes,Yes,,Loyalty Program,"Sustainability Score, AI-based Entertainment, Airport Map & Navigation",Yes,Lack of Features,Maybe,2,Very High
33,Male,Philippines,66897,High School,Retired,5–7,Leisure,"Qatar Privilege Club, Etihad Guest",Economy,Travel Aggregator,2,Yes,No,3,Yes,Yes,Yes,39.37,11–20%,No,No,"Food Quality, Inflight Entertainment, Customer Service","Comfort, Service Quality","Seat Upgrade Suggestions, Sustainability Score, Real-time Luggage Tracker, Airport Map & Navigation",No,,No,5,High
59,Male,USA,32864,Master’s,Self-employed,2–4,Business,,Economy,Travel Aggregator,1,Indifferent,Maybe,5,No,Yes,Yes,5.76,11–20%,Yes,Yes,"Inflight Entertainment, Cost, Customer Service",Comfort,"Seat Upgrade Suggestions, Real-time Luggage Tracker",No,,No,1,Very High
30,Male,USA,52752,Bachelor’s,Retired,2–4,Family,,Business,Airline App,1,Yes,Maybe,3,No,Maybe,Yes,37.16,21–30%,Yes,Yes,Cleanliness,Environmental Responsibility,AI-based Entertainment,No,,No,4,Moderate
47,Male,Philippines,73594,Doctorate,Employed,5–7,Business,Etihad Guest,Premium Economy,Travel Aggregator,1,Yes,Maybe,4,No,Yes,Yes,16.47,>30%,Yes,Yes,"Delays, Food Quality",,"Seat Upgrade Suggestions, Sustainability Score, AI-based Entertainment",Yes,Bugs,Yes,1,Moderate
36,Male,India,84023,Bachelor’s,Employed,2–4,Leisure,"Emirates Skywards, Etihad Guest, Other",Business,Agent,4,Yes,Yes,2,No,Yes,Yes,41.44,11–20%,Yes,Yes,"Food Quality, Cost, Sustainability","Comfort, Environmental Responsibility, Technology","Seat Upgrade Suggestions, Sustainability Score",No,,Yes,5,Low
45,Female,India,65897,Bachelor’s,Self-employed,5–7,Business,,Business,Agent,4,No,Yes,4,Yes,Maybe,Yes,30.02,>30%,Yes,No,,Service Quality,AI-based Entertainment,Yes,Bugs,Yes,4,High
66,Prefer not to say,UAE,41775,Bachelor’s,Employed,2–4,Other,Qatar Privilege Club,Economy,Other,4,Indifferent,No,5,Yes,Yes,No,21.86,21–30%,Yes,Yes,Inflight Entertainment,Service Quality,"Real-time Luggage Tracker, Airport Map & Navigation",No,,No,3,Low
54,Female,Philippines,102388,Master’s,Employed,2–4,Business,,Business,Travel Aggregator,3,Yes,Yes,5,Yes,Yes,Yes,16.15,0–10%,Yes,Maybe,"Delays, Food Quality, Customer Service, Cleanliness","Technology, Loyalty Program",Airport Map & Navigation,No,,No,4,High
22,Female,Philippines,27249,High School,Employed,0–1,Business,,Economy,Agent,4,No,Maybe,3,No,Maybe,No,37.35,>30%,No,Maybe,"Food Quality, Sustainability","Comfort, Service Quality, Technology",Airport Map & Navigation,Yes,Bugs,No,4,Low
41,Male,UAE,98566,High School,Student,8+,Business,"Emirates Skywards, Other",Premium Economy,Airline App,3,No,Maybe,1,No,Maybe,Yes,43.91,11–20%,Yes,Yes,"Food Quality, Cost, Customer Service, Sustainability",,Seat Upgrade Suggestions,Yes,Bugs,Yes,4,High
31,Non-binary,USA,123161,Bachelor’s,Employed,5–7,Leisure,,Premium Economy,Airline App,2,Yes,No,1,No,Yes,Maybe,17.01,11–20%,Yes,Yes,"Food Quality, Sustainability",,Real-time Luggage Tracker,No,,Maybe,5,High
56,Male,UK,105945,Master’s,Unemployed,2–4,Business,Qatar Privilege Club,Economy,Airline App,2,Yes,Maybe,5,No,No,Maybe,8.0,11–20%,Yes,No,"Food Quality, Check-in Process","Service Quality, Technology","Real-time Luggage Tracker, Airport Map & Navigation",No,,Yes,4,Moderate
28,Female,UAE,79987,High School,Retired,2–4,Leisure,"Qatar Privilege Club, Etihad Guest",First Class,Travel Aggregator,2,Yes,No,5,Yes,Maybe,No,35.41,11–20%,Yes,Yes,"Food Quality, Check-in Process, Customer Service, Sustainability, Cleanliness","Comfort, Environmental Responsibility",Sustainability Score,Yes,Slow Performance,Yes,5,High
35,Prefer not to say,Other,79741,Bachelor’s,Employed,5–7,Emergency,,Economy,Agent,2,Yes,No,2,Yes,Yes,Maybe,3.27,0–10%,Yes,Yes,"Check-in Process, Inflight Entertainment, Cost, Customer Service, Cleanliness",Price,"Seat Upgrade Suggestions, Airport Map & Navigation",No,,Maybe,1,Moderate
45,Female,India,108718,Bachelor’s,Self-employed,2–4,Family,Etihad Guest,Economy,Airline App,2,Yes,No,5,No,Yes,Yes,5.42,21–30%,Yes,Maybe,"Inflight Entertainment, Cost, Customer Service","Price, Service Quality, Technology",Sustainability Score,Yes,User Interface,Yes,3,Moderate
52,Prefer not to say,UAE,35902,Master’s,Self-employed,5–7,Leisure,,First Class,Travel Aggregator,4,Indifferent,Yes,5,Yes,Yes,No,9.06,21–30%,Yes,Maybe,"Delays, Check-in Process, Inflight Entertainment, Customer Service",Price,"Sustainability Score, Airport Map & Navigation",No,,Maybe,4,Very High
25,Female,USA,88235,Doctorate,Student,2–4,Business,,Premium Economy,Travel Aggregator,5,Indifferent,Yes,2,Yes,Maybe,Yes,18.77,21–30%,No,No,Customer Service,"Price, Environmental Responsibility","Sustainability Score, AI-based Entertainment, Airport Map & Navigation",No,,Yes,5,High
39,Male,Pakistan,50862,Bachelor’s,Employed,5–7,Leisure,,Premium Economy,Agent,4,Yes,No,4,No,Maybe,Yes,4.96,0–10%,Yes,Yes,"Check-in Process, Inflight Entertainment, Cost","Price, Comfort",Airport Map & Navigation,No,,Yes,4,Low
29,Male,UAE,111184,Bachelor’s,Student,2–4,Business,Emirates Skywards,Premium Economy,Travel Aggregator,5,Yes,Maybe,4,No,Yes,Yes,0.0,>30%,Yes,Yes,"Cost, Sustainability, Cleanliness","Price, Environmental Responsibility, Technology",,No,,Yes,4,High
32,Female,USA,94155,Bachelor’s,Employed,2–4,Family,"Emirates Skywards, Etihad Guest",Business,Other,4,Yes,No,2,No,Maybe,Yes,7.97,0–10%,Yes,Yes,Customer Service,"Price, Loyalty Program",,No,,No,4,Moderate
57,Male,UK,71484,High School,Unemployed,2–4,Business,"Etihad Guest, Other",Economy,Airline App,2,Indifferent,Yes,2,No,Maybe,Yes,34.64,0–10%,Yes,Yes,"Delays, Check-in Process, Inflight Entertainment, Cost, Customer Service",Loyalty Program,"Seat Upgrade Suggestions, Sustainability Score",No,,No,2,Very High
51,Female,UAE,70301,Bachelor’s,Employed,8+,Leisure,"Emirates Skywards, Qatar Privilege Club",Economy,Airline App,1,Yes,Yes,4,No,Yes,No,5.93,0–10%,Yes,Yes,"Inflight Entertainment, Customer Service",,Sustainability Score,No,,Yes,3,High
22,Prefer not to say,UAE,65761,Master’s,Employed,2–4,Leisure,"Etihad Guest, Other",Economy,Travel Aggregator,5,No,Maybe,4,No,No,Yes,19.9,0–10%,Yes,Yes,"Inflight Entertainment, Cost","Price, Service Quality, Loyalty Program",Real-time Luggage Tracker,Yes,Lack of Features,Yes,3,High
52,Male,USA,40977,Bachelor’s,Student,2–4,Emergency,"Emirates Skywards, Other",Economy,Airline App,1,Yes,No,4,Yes,Yes,Maybe,54.2,11–20%,Yes,Maybe,Cost,"Price, Service Quality, Technology, Loyalty Program","Seat Upgrade Suggestions, Real-time Luggage Tracker",No,,Yes,5,Low
74,Female,India,109934,Doctorate,Student,2–4,Business,Emirates Skywards,Business,Airline App,2,No,Maybe,4,No,Maybe,No,24.26,11–20%,Yes,No,"Delays, Cleanliness",,"AI-based Entertainment, Real-time Luggage Tracker",No,,Yes,1,Very High
50,Female,Other,23097,Bachelor’s,Employed,2–4,Leisure,Qatar Privilege Club,Economy,Travel Aggregator,5,Yes,No,3,Yes,No,Yes,30.14,21–30%,Yes,No,"Delays, Food Quality, Cost","Price, Comfort, Service Quality","Real-time Luggage Tracker, Airport Map & Navigation",No,,Maybe,1,Moderate
25,Female,Philippines,143254,Master’s,Employed,5–7,Business,Other,Economy,Travel Aggregator,1,Yes,No,2,Yes,No,Yes,10.81,>30%,Yes,Maybe,"Check-in Process, Cost, Sustainability, Cleanliness",Environmental Responsibility,Sustainability Score,No,,Yes,1,High
37,Non-binary,Other,100776,Bachelor’s,Employed,5–7,Family,"Qatar Privilege Club, Etihad Guest",Economy,Travel Aggregator,4,Yes,Maybe,1,Yes,No,Maybe,57.45,21–30%,Yes,Yes,"Delays, Inflight Entertainment, Cost, Sustainability, Cleanliness",,,No,,Maybe,4,High
62,Female,India,158072,Bachelor’s,Unemployed,0–1,Other,"Emirates Skywards, Other",Business,Airline App,2,Yes,Yes,3,No,No,Yes,16.88,11–20%,Yes,Yes,"Check-in Process, Sustainability",,"Seat Upgrade Suggestions, AI-based Entertainment, Airport Map & Navigation",No,,Yes,5,High
29,Non-binary,Other,61995,Bachelor’s,Student,8+,Leisure,,Business,Travel Aggregator,4,Indifferent,No,1,No,Maybe,Yes,21.58,21–30%,Yes,Maybe,"Delays, Check-in Process, Sustainability","Price, Service Quality, Loyalty Program",,No,,Yes,4,Very High
45,Female,UK,72357,Bachelor’s,Student,5–7,Leisure,,Economy,Airline App,4,Yes,No,1,No,No,No,44.76,21–30%,Yes,Maybe,"Food Quality, Inflight Entertainment, Sustainability, Cleanliness",,"Seat Upgrade Suggestions, Airport Map & Navigation",No,,No,2,Very High
44,Male,India,31386,Bachelor’s,Employed,5–7,Other,Etihad Guest,Premium Economy,Airline App,2,Yes,No,5,No,Maybe,Yes,22.27,11–20%,Yes,Yes,"Delays, Inflight Entertainment, Customer Service",,"Seat Upgrade Suggestions, Airport Map & Navigation",No,,Maybe,5,Moderate
27,Male,UAE,123004,Master’s,Employed,2–4,Leisure,Other,Economy,Travel Aggregator,5,Indifferent,Maybe,2,No,No,Yes,25.72,21–30%,Yes,Yes,Food Quality,Technology,"AI-based Entertainment, Airport Map & Navigation",No,,Maybe,5,High
34,Female,UAE,151279,Doctorate,Self-employed,5–7,Leisure,"Emirates Skywards, Qatar Privilege Club, Etihad Guest",Premium Economy,Airline App,3,Yes,Yes,3,No,Yes,Yes,20.77,11–20%,Yes,No,"Sustainability, Cleanliness",Price,AI-based Entertainment,Yes,User Interface,No,5,Low
0,Male,USA,114812,Bachelor’s,Student,0–1,Leisure,Etihad Guest,Economy,Airline App,3,Yes,No,2,No,Maybe,Yes,20.88,0–10%,Yes,Yes,Food Quality,"Price, Service Quality",Seat Upgrade Suggestions,Yes,Lack of Features,Yes,2,High
29,Female,UK,31251,High School,Employed,2–4,Leisure,Other,Economy,Travel Aggregator,2,Indifferent,Yes,4,No,No,Yes,30.56,11–20%,Yes,Yes,"Delays, Inflight Entertainment, Customer Service","Technology, Loyalty Program","AI-based Entertainment, Real-time Luggage Tracker",No,,Yes,5,High
